x	y	car_pre_inf
505067	2125497	5.26165625
505167	2125497	5.270068163
505267	2125497	5.278525971
505367	2125497	5.287029503
505467	2125497	5.29557859
505567	2125497	5.304173059
505667	2125497	5.312812741
505767	2125497	5.321497464
505867	2125497	5.330227058
505967	2125497	5.339001351
506067	2125497	5.347820174
506167	2125497	5.356683354
501567	2125597	4.981842301
501667	2125597	4.988559602
501767	2125597	4.995328751
501867	2125597	5.002149585
501967	2125597	5.009021941
502067	2125597	5.015945654
502167	2125597	5.022920558
502267	2125597	5.029946489
502367	2125597	5.037023282
502467	2125597	5.044150771
502567	2125597	5.051328788
502667	2125597	5.058557169
502767	2125597	5.065835746
502867	2125597	5.073164351
502967	2125597	5.080542818
503067	2125597	5.087970979
503167	2125597	5.095448666
503267	2125597	5.10297571
503367	2125597	5.110551944
503467	2125597	5.118177197
503567	2125597	5.125851302
503667	2125597	5.13357409
503767	2125597	5.14134539
503867	2125597	5.149165034
503967	2125597	5.157032851
504067	2125597	5.164948672
504167	2125597	5.172912326
504267	2125597	5.180923643
504367	2125597	5.188982453
504467	2125597	5.197088585
504567	2125597	5.205241868
504667	2125597	5.213442132
504767	2125597	5.221689206
504867	2125597	5.229982918
504967	2125597	5.238323097
505067	2125597	5.246709572
505167	2125597	5.255142172
505267	2125597	5.263620726
505367	2125597	5.272145061
505467	2125597	5.280715006
505567	2125597	5.28933039
505667	2125597	5.297991041
505767	2125597	5.306696787
505867	2125597	5.315447457
505967	2125597	5.324242879
506067	2125597	5.33308288
506167	2125597	5.341967291
501467	2125697	4.959549237
501567	2125697	4.966232558
501667	2125697	4.972967983
501767	2125697	4.97975535
501867	2125697	4.986594492
501967	2125697	4.993485244
502067	2125697	5.000427443
502167	2125697	5.007420921
502267	2125697	5.014465512
502367	2125697	5.021561051
502467	2125697	5.02870737
502567	2125697	5.035904302
502667	2125697	5.043151679
502767	2125697	5.050449335
502867	2125697	5.0577971
502967	2125697	5.065194806
503067	2125697	5.072642285
503167	2125697	5.080139367
503267	2125697	5.087685884
503367	2125697	5.095281666
503467	2125697	5.102926544
503567	2125697	5.110620347
503667	2125697	5.118362905
503767	2125697	5.126154048
503867	2125697	5.133993605
503967	2125697	5.141881406
504067	2125697	5.14981728
504167	2125697	5.157801056
504267	2125697	5.165832562
504367	2125697	5.173911627
504467	2125697	5.18203808
504567	2125697	5.190211749
504667	2125697	5.198432462
504767	2125697	5.206700047
504867	2125697	5.215014332
504967	2125697	5.223375146
505067	2125697	5.231782316
505167	2125697	5.24023567
505267	2125697	5.248735035
505367	2125697	5.257280239
505467	2125697	5.265871109
505567	2125697	5.274507474
505667	2125697	5.283189161
505767	2125697	5.291915996
505867	2125697	5.300687808
505967	2125697	5.309504424
506067	2125697	5.318365671
506167	2125697	5.327271376
501367	2125797	4.937289545
501467	2125797	4.943938603
501567	2125797	4.950640023
501667	2125797	4.957393641
501767	2125797	4.96419929
501867	2125797	4.971056806
501967	2125797	4.977966023
502067	2125797	4.984926774
502167	2125797	4.991938893
502267	2125797	4.999002211
502367	2125797	5.006116563
502467	2125797	5.01328178
502567	2125797	5.020497693
502667	2125797	5.027764135
502767	2125797	5.035080936
502867	2125797	5.042447928
502967	2125797	5.049864941
503067	2125797	5.057331805
503167	2125797	5.064848351
503267	2125797	5.072414408
503367	2125797	5.080029806
503467	2125797	5.087694374
503567	2125797	5.095407942
503667	2125797	5.103170338
503767	2125797	5.110981391
503867	2125797	5.11884093
503967	2125797	5.126748782
504067	2125797	5.134704777
504167	2125797	5.142708741
504267	2125797	5.150760503
504367	2125797	5.158859891
504467	2125797	5.167006732
504567	2125797	5.175200853
504667	2125797	5.183442082
504767	2125797	5.191730246
504867	2125797	5.200065172
504967	2125797	5.208446687
505067	2125797	5.216874618
505167	2125797	5.225348792
505267	2125797	5.233869035
505367	2125797	5.242435175
505467	2125797	5.251047037
505567	2125797	5.259704449
505667	2125797	5.268407238
505767	2125797	5.277155228
505867	2125797	5.285948248
505967	2125797	5.294786124
506067	2125797	5.303668682
506167	2125797	5.312595748
501367	2125897	4.921678117
501467	2125897	4.928345247
501567	2125897	4.935064832
501667	2125897	4.941836708
501767	2125897	4.948660708
501867	2125897	4.955536665
501967	2125897	4.962464413
502067	2125897	4.969443784
502167	2125897	4.97647461
502267	2125897	4.983556723
502367	2125897	4.990689955
502467	2125897	4.997874136
502567	2125897	5.005109098
502667	2125897	5.012394672
502767	2125897	5.019730686
502867	2125897	5.027116972
502967	2125897	5.034553359
503067	2125897	5.042039676
503167	2125897	5.049575753
503267	2125897	5.057161418
503367	2125897	5.064796499
503467	2125897	5.072480826
503567	2125897	5.080214226
503667	2125897	5.087996528
503767	2125897	5.095827558
503867	2125897	5.103707145
503967	2125897	5.111635117
504067	2125897	5.119611299
504167	2125897	5.127635519
504267	2125897	5.135707605
504367	2125897	5.143827382
504467	2125897	5.151994678
504567	2125897	5.160209319
504667	2125897	5.168471131
504767	2125897	5.176779941
504867	2125897	5.185135574
504967	2125897	5.193537858
505067	2125897	5.201986617
505167	2125897	5.210481677
505267	2125897	5.219022866
505367	2125897	5.227610007
505467	2125897	5.236242928
505567	2125897	5.244921454
505667	2125897	5.25364541
505767	2125897	5.262414622
505867	2125897	5.271228916
505967	2125897	5.280088117
506067	2125897	5.288992052
506167	2125897	5.297940545
501267	2125997	4.899451485
501367	2125997	4.906084036
501467	2125997	4.912769304
501567	2125997	4.919507122
501667	2125997	4.926297323
501767	2125997	4.93313974
501867	2125997	4.940034205
501967	2125997	4.946980551
502067	2125997	4.953978608
502167	2125997	4.961028209
502267	2125997	4.968129184
502367	2125997	4.975281363
502467	2125997	4.982484577
502567	2125997	4.989738655
502667	2125997	4.997043428
502767	2125997	5.004398723
502867	2125997	5.011804371
502967	2125997	5.0192602
503067	2125997	5.026766037
503167	2125997	5.034321712
503267	2125997	5.041927052
503367	2125997	5.049581885
503467	2125997	5.057286037
503567	2125997	5.065039338
503667	2125997	5.072841612
503767	2125997	5.080692688
503867	2125997	5.088592391
503967	2125997	5.096540548
504067	2125997	5.104536986
504167	2125997	5.11258153
504267	2125997	5.120674006
504367	2125997	5.12881424
504467	2125997	5.137002059
504567	2125997	5.145237286
504667	2125997	5.153519749
504767	2125997	5.161849271
504867	2125997	5.170225679
504967	2125997	5.178648797
505067	2125997	5.187118451
505167	2125997	5.195634465
505267	2125997	5.204196665
505367	2125997	5.212804876
505467	2125997	5.221458921
505567	2125997	5.230158626
505667	2125997	5.238903817
505767	2125997	5.247694317
505867	2125997	5.256529951
505967	2125997	5.265410544
506067	2125997	5.274335921
501267	2126097	4.883856778
501367	2126097	4.890507439
501467	2126097	4.897210912
501567	2126097	4.903967029
501667	2126097	4.910775622
501767	2126097	4.917636523
501867	2126097	4.924549564
501967	2126097	4.931514575
502067	2126097	4.938531386
502167	2126097	4.945599829
502267	2126097	4.952719733
502367	2126097	4.959890927
502467	2126097	4.967113241
502567	2126097	4.974386503
502667	2126097	4.981710542
502767	2126097	4.989085186
502867	2126097	4.996510263
502967	2126097	5.003985601
503067	2126097	5.011511026
503167	2126097	5.019086367
503267	2126097	5.02671145
503367	2126097	5.034386101
503467	2126097	5.042110148
503567	2126097	5.049883416
503667	2126097	5.057705731
503767	2126097	5.065576919
503867	2126097	5.073496805
503967	2126097	5.081465216
504067	2126097	5.089481977
504167	2126097	5.097546912
504267	2126097	5.105659846
504367	2126097	5.113820605
504467	2126097	5.122029013
504567	2126097	5.130284894
504667	2126097	5.138588074
504767	2126097	5.146938376
504867	2126097	5.155335626
504967	2126097	5.163779646
505067	2126097	5.172270261
505167	2126097	5.180807296
505267	2126097	5.189390574
505367	2126097	5.19801992
505467	2126097	5.206695156
505567	2126097	5.215416108
505667	2126097	5.224182599
505767	2126097	5.232994453
505867	2126097	5.241851493
505967	2126097	5.250753544
506067	2126097	5.259700429
501167	2126197	4.861663865
501267	2126197	4.868279628
501367	2126197	4.874948465
501467	2126197	4.88167021
501567	2126197	4.888444693
501667	2126197	4.895271745
501767	2126197	4.902151197
501867	2126197	4.90908288
501967	2126197	4.916066624
502067	2126197	4.923102257
502167	2126197	4.930189609
502267	2126197	4.93732851
502367	2126197	4.944518786
502467	2126197	4.951760267
502567	2126197	4.959052781
502667	2126197	4.966396154
502767	2126197	4.973790214
502867	2126197	4.981234788
502967	2126197	4.988729703
503067	2126197	4.996274784
503167	2126197	5.003869859
503267	2126197	5.011514752
503367	2126197	5.01920929
503467	2126197	5.026953298
503567	2126197	5.034746601
503667	2126197	5.042589024
503767	2126197	5.050480392
503867	2126197	5.05842053
503967	2126197	5.066409263
504067	2126197	5.074446413
504167	2126197	5.082531807
504267	2126197	5.090665267
504367	2126197	5.098846617
504467	2126197	5.107075682
504567	2126197	5.115352285
504667	2126197	5.123676249
504767	2126197	5.132047398
504867	2126197	5.140465556
504967	2126197	5.148930545
505067	2126197	5.157442189
505167	2126197	5.166000311
505267	2126197	5.174604734
505367	2126197	5.183255282
505467	2126197	5.191951776
505567	2126197	5.20069404
505667	2126197	5.209481898
505767	2126197	5.218315172
505867	2126197	5.227193684
505967	2126197	5.236117259
506067	2126197	5.245085718
501067	2126297	4.839505694
501167	2126297	4.846086264
501267	2126297	4.852720174
501367	2126297	4.859407255
501467	2126297	4.866147338
501567	2126297	4.872940254
501667	2126297	4.879785832
501767	2126297	4.886683903
501867	2126297	4.893634296
501967	2126297	4.900636839
502067	2126297	4.907691361
502167	2126297	4.914797691
502267	2126297	4.921955655
502367	2126297	4.929165082
502467	2126297	4.936425798
502567	2126297	4.94373763
