x	y	car_pre_dur
505167	2125597	6.047110957
505267	2125597	6.056959254
505367	2125597	6.066847203
505467	2125597	6.076774597
505567	2125597	6.086741227
505667	2125597	6.096746887
505767	2125597	6.10679137
505867	2125597	6.116874473
505967	2125597	6.126995992
506067	2125597	6.137155724
506167	2125597	6.14735347
501467	2125697	5.696396554
501567	2125697	5.704645536
501667	2125697	5.712942773
501767	2125697	5.72128801
501867	2125697	5.729680993
501967	2125697	5.73812147
502067	2125697	5.74660919
502167	2125697	5.755143904
502267	2125697	5.763725362
502367	2125697	5.772353318
502467	2125697	5.781027524
502567	2125697	5.789747737
502667	2125697	5.798513711
502767	2125697	5.807325204
502867	2125697	5.816181975
502967	2125697	5.825083783
503067	2125697	5.834030389
503167	2125697	5.843021556
503267	2125697	5.852057046
503367	2125697	5.861136625
503467	2125697	5.870260058
503567	2125697	5.879427111
503667	2125697	5.888637555
503767	2125697	5.897891157
503867	2125697	5.907187688
503967	2125697	5.916526921
504067	2125697	5.925908628
504167	2125697	5.935332585
504267	2125697	5.944798566
504367	2125697	5.954306348
504467	2125697	5.96385571
504567	2125697	5.97344643
504667	2125697	5.983078289
504767	2125697	5.992751069
504867	2125697	6.002464553
504967	2125697	6.012218524
505067	2125697	6.022012769
505167	2125697	6.031847073
505267	2125697	6.041721224
505367	2125697	6.051635012
505467	2125697	6.061588226
505567	2125697	6.071580657
505667	2125697	6.081612098
505767	2125697	6.091682344
505867	2125697	6.101791187
505967	2125697	6.111938426
506067	2125697	6.122123856
506167	2125697	6.132347276
501367	2125797	5.671965036
501467	2125797	5.680191408
501567	2125797	5.688466314
501667	2125797	5.696789497
501767	2125797	5.705160702
501867	2125797	5.713579672
501967	2125797	5.722046155
502067	2125797	5.730559897
502167	2125797	5.739120648
502267	2125797	5.747728158
502367	2125797	5.756382177
502467	2125797	5.765082459
502567	2125797	5.773828756
502667	2125797	5.782620823
502767	2125797	5.791458417
502867	2125797	5.800341294
502967	2125797	5.809269214
503067	2125797	5.818241935
503167	2125797	5.827259219
503267	2125797	5.836320828
503367	2125797	5.845426525
503467	2125797	5.854576076
503567	2125797	5.863769245
503667	2125797	5.873005801
503767	2125797	5.882285511
503867	2125797	5.891608146
503967	2125797	5.900973476
504067	2125797	5.910381273
504167	2125797	5.919831311
504267	2125797	5.929323365
504367	2125797	5.93885721
504467	2125797	5.948432623
504567	2125797	5.958049383
504667	2125797	5.967707269
504767	2125797	5.977406063
504867	2125797	5.987145546
504967	2125797	5.996925502
505067	2125797	6.006745715
505167	2125797	6.01660597
505267	2125797	6.026506056
505367	2125797	6.036445759
505467	2125797	6.04642487
505567	2125797	6.056443179
505667	2125797	6.066500477
505767	2125797	6.076596558
505867	2125797	6.086731216
505967	2125797	6.096904247
506067	2125797	6.107115446
506167	2125797	6.117364611
501367	2125897	5.655753188
501467	2125897	5.664005579
501567	2125897	5.672306528
501667	2125897	5.680655776
501767	2125897	5.689053064
501867	2125897	5.697498137
501967	2125897	5.705990739
502067	2125897	5.714530617
502167	2125897	5.723117517
502267	2125897	5.731751189
502367	2125897	5.740431382
502467	2125897	5.749157847
502567	2125897	5.757930336
502667	2125897	5.766748603
502767	2125897	5.775612402
502867	2125897	5.78452149
502967	2125897	5.793475624
503067	2125897	5.802474562
503167	2125897	5.811518064
503267	2125897	5.820605891
503367	2125897	5.829737806
503467	2125897	5.838913571
503567	2125897	5.848132953
503667	2125897	5.857395716
503767	2125897	5.866701629
503867	2125897	5.87605046
503967	2125897	5.885441978
504067	2125897	5.894875956
504167	2125897	5.904352166
504267	2125897	5.913870381
504367	2125897	5.923430376
504467	2125897	5.933031927
504567	2125897	5.942674813
504667	2125897	5.952358811
504767	2125897	5.962083702
504867	2125897	5.971849267
504967	2125897	5.981655289
505067	2125897	5.99150155
505167	2125897	6.001387837
505267	2125897	6.011313935
505367	2125897	6.021279632
505467	2125897	6.031284717
505567	2125897	6.041328979
505667	2125897	6.051412209
505767	2125897	6.0615342
505867	2125897	6.071694745
505967	2125897	6.08189364
506067	2125897	6.092130679
506167	2125897	6.10240566
501267	2125997	5.631331042
501367	2125997	5.639560733
501467	2125997	5.647839264
501567	2125997	5.656166374
501667	2125997	5.664541803
501767	2125997	5.672965292
501867	2125997	5.681436583
501967	2125997	5.68995542
502067	2125997	5.698521546
502167	2125997	5.707134707
502267	2125997	5.715794652
502367	2125997	5.724501128
502467	2125997	5.733253884
502567	2125997	5.742052673
502667	2125997	5.750897246
502767	2125997	5.759787356
502867	2125997	5.768722758
502967	2125997	5.777703209
503067	2125997	5.786728465
503167	2125997	5.795798285
503267	2125997	5.80491243
503367	2125997	5.81407066
503467	2125997	5.823272738
503567	2125997	5.832518427
503667	2125997	5.841807493
503767	2125997	5.851139702
503867	2125997	5.860514822
503967	2125997	5.869932621
504067	2125997	5.87939287
504167	2125997	5.888895341
504267	2125997	5.898439805
504367	2125997	5.908026038
504467	2125997	5.917653814
504567	2125997	5.927322911
504667	2125997	5.937033105
504767	2125997	5.946784177
504867	2125997	5.956575906
504967	2125997	5.966408075
505067	2125997	5.976280465
505167	2125997	5.986192863
505267	2125997	5.996145052
505367	2125997	6.00613682
505467	2125997	6.016167954
505567	2125997	6.026238245
505667	2125997	6.036347481
505767	2125997	6.046495455
505867	2125997	6.05668196
505967	2125997	6.06690679
506067	2125997	6.07716974
501267	2126097	5.61513194
501367	2126097	5.623387868
501467	2126097	5.631692659
501567	2126097	5.640046049
501667	2126097	5.648447778
501767	2126097	5.656897585
501867	2126097	5.665395209
501967	2126097	5.673940393
502067	2126097	5.682532881
502167	2126097	5.691172416
502267	2126097	5.699858744
502367	2126097	5.708591612
502467	2126097	5.717370769
502567	2126097	5.726195965
502667	2126097	5.735066949
502767	2126097	5.743983475
502867	2126097	5.752945295
502967	2126097	5.761952165
503067	2126097	5.771003841
503167	2126097	5.78010008
503267	2126097	5.789240642
503367	2126097	5.798425285
503467	2126097	5.807653772
503567	2126097	5.816925865
503667	2126097	5.826241329
503767	2126097	5.835599927
503867	2126097	5.845001429
503967	2126097	5.8544456
504067	2126097	5.863932211
504167	2126097	5.873461031
504267	2126097	5.883031834
504367	2126097	5.892644391
504467	2126097	5.902298478
504567	2126097	5.91199387
504667	2126097	5.921730345
504767	2126097	5.93150768
504867	2126097	5.941325655
504967	2126097	5.951184052
505067	2126097	5.961082651
505167	2126097	5.971021238
505267	2126097	5.980999596
505367	2126097	5.991017512
505467	2126097	6.001074772
505567	2126097	6.011171166
505667	2126097	6.021306482
505767	2126097	6.031480513
505867	2126097	6.04169305
505967	2126097	6.051943886
506067	2126097	6.062232817
501167	2126197	5.590719369
501267	2126197	5.598952506
501367	2126197	5.607234792
501467	2126197	5.615565964
501567	2126197	5.623945754
501667	2126197	5.632373901
501767	2126197	5.640850141
501867	2126197	5.649374214
501967	2126197	5.657945861
502067	2126197	5.666564823
502167	2126197	5.675230843
502267	2126197	5.683943665
502367	2126197	5.692703036
502467	2126197	5.701508701
502567	2126197	5.71036041
502667	2126197	5.719257912
502767	2126197	5.728200958
502867	2126197	5.737189301
502967	2126197	5.746222693
503067	2126197	5.75530089
503167	2126197	5.764423648
503267	2126197	5.773590725
503367	2126197	5.78280188
503467	2126197	5.792056872
503567	2126197	5.801355465
503667	2126197	5.81069742
503767	2126197	5.820082502
503867	2126197	5.829510477
503967	2126197	5.838981111
504067	2126197	5.848494173
504167	2126197	5.858049433
504267	2126197	5.867646661
504367	2126197	5.87728563
504467	2126197	5.886966113
504567	2126197	5.896687886
504667	2126197	5.906450724
504767	2126197	5.916254405
504867	2126197	5.926098708
504967	2126197	5.935983413
505067	2126197	5.945908301
505167	2126197	5.955873155
505267	2126197	5.96587776
505367	2126197	5.975921899
505467	2126197	5.986005361
505567	2126197	5.996127932
505667	2126197	6.006289403
505767	2126197	6.016489562
505867	2126197	6.026728202
505967	2126197	6.037005116
506067	2126197	6.047320097
501067	2126297	5.566323191
501167	2126297	5.574533346
501267	2126297	5.582792942
501367	2126297	5.591101709
501467	2126297	5.599459381
501567	2126297	5.60786569
501667	2126297	5.616320372
501767	2126297	5.624823164
501867	2126297	5.633373801
501967	2126297	5.641972025
502067	2126297	5.650617574
502167	2126297	5.659310191
502267	2126297	5.668049618
502367	2126297	5.6768356
502467	2126297	5.685667883
502567	2126297	5.694546212
