x	y	error_car_pre_inf
502267	2125497	0.893652879
502367	2125497	0.893998896
502467	2125497	0.894353978
502567	2125497	0.89471812
502667	2125497	0.895091315
502767	2125497	0.895473554
502867	2125497	0.89586483
502967	2125497	0.896265133
503067	2125497	0.896674454
503167	2125497	0.897092783
503267	2125497	0.897520111
503367	2125497	0.897956425
503467	2125497	0.898401716
503567	2125497	0.898855971
503667	2125497	0.899319178
503767	2125497	0.899791324
503867	2125497	0.900272397
503967	2125497	0.900762382
504067	2125497	0.901261266
504167	2125497	0.901769035
504267	2125497	0.902285673
504367	2125497	0.902811167
504467	2125497	0.903345499
504567	2125497	0.903888655
504667	2125497	0.904440618
504767	2125497	0.905001372
504867	2125497	0.905570899
504967	2125497	0.906149182
505067	2125497	0.906736205
505167	2125497	0.907331948
505267	2125497	0.907936393
505367	2125497	0.908549522
505467	2125497	0.909171317
505567	2125497	0.909801757
505667	2125497	0.910440824
505767	2125497	0.911088497
505867	2125497	0.911744757
505967	2125497	0.912409583
506067	2125497	0.913082955
506167	2125497	0.913764852
501567	2125597	0.88910805
501667	2125597	0.889390089
501767	2125597	0.889681275
501867	2125597	0.889981603
501967	2125597	0.890291071
502067	2125597	0.890609675
502167	2125597	0.890937409
502267	2125597	0.891274269
502367	2125597	0.891620249
502467	2125597	0.891975342
502567	2125597	0.892339541
502667	2125597	0.892712839
502767	2125597	0.893095227
502867	2125597	0.893486697
502967	2125597	0.89388724
503067	2125597	0.894296845
503167	2125597	0.894715503
503267	2125597	0.895143202
503367	2125597	0.895579933
503467	2125597	0.896025682
503567	2125597	0.896480438
503667	2125597	0.896944188
503767	2125597	0.89741692
503867	2125597	0.897898619
503967	2125597	0.898389272
504067	2125597	0.898888864
504167	2125597	0.899397382
504267	2125597	0.899914809
504367	2125597	0.90044113
504467	2125597	0.900976329
504567	2125597	0.901520391
504667	2125597	0.902073298
504767	2125597	0.902635033
504867	2125597	0.90320558
504967	2125597	0.90378492
505067	2125597	0.904373036
505167	2125597	0.904969908
505267	2125597	0.90557552
505367	2125597	0.90618985
505467	2125597	0.906812882
505567	2125597	0.907444594
505667	2125597	0.908084966
505767	2125597	0.90873398
505867	2125597	0.909391614
505967	2125597	0.910057848
506067	2125597	0.910732661
506167	2125597	0.911416031
501467	2125697	0.886457797
501567	2125697	0.886730271
501667	2125697	0.887011944
501767	2125697	0.887302813
501867	2125697	0.887602875
501967	2125697	0.887912126
