x	y	error_car_pre_dur
506467	2124697	1.6104551
502367	2124797	1.501213547
502467	2124797	1.503584077
502567	2124797	1.505965572
502667	2124797	1.508357969
502767	2124797	1.510761207
502867	2124797	1.513175224
502967	2124797	1.515599959
503067	2124797	1.518035351
503167	2124797	1.52048134
503267	2124797	1.522937867
503367	2124797	1.525404871
503467	2124797	1.527882294
503567	2124797	1.530370077
503667	2124797	1.532868161
503767	2124797	1.535376489
503867	2124797	1.537895002
503967	2124797	1.540423644
504067	2124797	1.542962358
504167	2124797	1.545511087
504267	2124797	1.548069775
504367	2124797	1.550638366
504467	2124797	1.553216805
504567	2124797	1.555805037
504667	2124797	1.558403007
504767	2124797	1.561010661
504867	2124797	1.563627945
504967	2124797	1.566254805
505067	2124797	1.568891188
505167	2124797	1.571537041
505267	2124797	1.574192312
505367	2124797	1.576856948
505467	2124797	1.579530898
505567	2124797	1.582214109
505667	2124797	1.584906532
505767	2124797	1.587608114
505867	2124797	1.590318806
505967	2124797	1.593038558
506067	2124797	1.595767319
506167	2124797	1.59850504
506267	2124797	1.601251672
506367	2124797	1.604007167
506467	2124797	1.606771475
502267	2124897	1.494895141
502367	2124897	1.497261494
502467	2124897	1.499638871
502567	2124897	1.502027208
502667	2124897	1.504426443
502767	2124897	1.506836514
502867	2124897	1.50925736
502967	2124897	1.511688918
503067	2124897	1.514131128
503167	2124897	1.51658393
503267	2124897	1.519047264
503367	2124897	1.521521069
503467	2124897	1.524005286
503567	2124897	1.526499857
503667	2124897	1.529004722
503767	2124897	1.531519824
503867	2124897	1.534045105
503967	2124897	1.536580507
504067	2124897	1.539125974
504167	2124897	1.541681448
504267	2124897	1.544246873
504367	2124897	1.546822193
504467	2124897	1.549407353
504567	2124897	1.552002298
504667	2124897	1.554606972
504767	2124897	1.557221321
504867	2124897	1.559845291
504967	2124897	1.562478829
505067	2124897	1.56512188
505167	2124897	1.567774393
505267	2124897	1.570436314
505367	2124897	1.57310759
505467	2124897	1.57578817
505567	2124897	1.578478003
505667	2124897	1.581177036
505767	2124897	1.58388522
505867	2124897	1.586602503
505967	2124897	1.589328835
506067	2124897	1.592064167
506167	2124897	1.594808448
506267	2124897	1.59756163
506367	2124897	1.600323663
502167	2124997	1.488580006
502267	2124997	1.490942151
502367	2124997	1.493315379
502467	2124997	1.495699627
502567	2124997	1.49809483
502667	2124997	1.500500927
502767	2124997	1.502917855
502867	2124997	1.505345552
502967	2124997	1.507783957
503067	2124997	1.510233008
503167	2124997	1.512692645
503267	2124997	1.515162807
503367	2124997	1.517643434
503467	2124997	1.520134467
503567	2124997	1.522635847
503667	2124997	1.525147515
503767	2124997	1.527669412
503867	2124997	1.53020148
503967	2124997	1.532743662
504067	2124997	1.5352959
504167	2124997	1.537858138
504267	2124997	1.54043032
504367	2124997	1.543012388
504467	2124997	1.545604287
504567	2124997	1.548205962
504667	2124997	1.550817358
504767	2124997	1.55343842
504867	2124997	1.556069095
504967	2124997	1.558709327
505067	2124997	1.561359064
505167	2124997	1.564018252
505267	2124997	1.566686839
505367	2124997	1.569364771
505467	2124997	1.572051998
505567	2124997	1.574748467
505667	2124997	1.577454127
505767	2124997	1.580168927
505867	2124997	1.582892816
505967	2124997	1.585625743
506067	2124997	1.588367659
506167	2124997	1.591118515
506267	2124997	1.59387826
506367	2124997	1.596646845
502067	2125097	1.482268173
502167	2125097	1.484626079
502267	2125097	1.486995129
502367	2125097	1.489375256
502467	2125097	1.491766399
502567	2125097	1.494168493
502667	2125097	1.496581476
502767	2125097	1.499005284
502867	2125097	1.501439856
502967	2125097	1.50388513
503067	2125097	1.506341044
503167	2125097	1.508807538
503267	2125097	1.51128455
503367	2125097	1.513772022
503467	2125097	1.516269892
503567	2125097	1.518778102
503667	2125097	1.521296592
503767	2125097	1.523825304
503867	2125097	1.52636418
503967	2125097	1.528913161
504067	2125097	1.531472191
504167	2125097	1.534041212
504267	2125097	1.536620168
504367	2125097	1.539209003
504467	2125097	1.54180766
504567	2125097	1.544416083
504667	2125097	1.547034219
504767	2125097	1.549662012
504867	2125097	1.552299407
504967	2125097	1.554946351
505067	2125097	1.557602789
505167	2125097	1.560268669
505267	2125097	1.562943938
505367	2125097	1.565628543
505467	2125097	1.568322432
505567	2125097	1.571025553
505667	2125097	1.573737854
505767	2125097	1.576459284
505867	2125097	1.579189793
505967	2125097	1.581929331
506067	2125097	1.584677845
506167	2125097	1.587435289
506267	2125097	1.59020161
506367	2125097	1.592976762
501967	2125197	1.475959675
502067	2125197	1.478313311
502167	2125197	1.480678151
502267	2125197	1.483054129
502367	2125197	1.485441181
502467	2125197	1.487839244
502567	2125197	1.490248252
502667	2125197	1.492668144
502767	2125197	1.495098856
502867	2125197	1.497540326
502967	2125197	1.499992492
503067	2125197	1.502455291
503167	2125197	1.504928664
503267	2125197	1.507412549
503367	2125197	1.509906886
503467	2125197	1.512411614
503567	2125197	1.514926674
503667	2125197	1.517452008
503767	2125197	1.519987555
503867	2125197	1.522533258
