x	y	error_coe_com_dur
506267	2125397	0.307184636
501667	2125497	0.278854059
501767	2125497	0.279381584
501867	2125497	0.279912499
501967	2125497	0.280446784
502067	2125497	0.280984419
502167	2125497	0.281525384
502267	2125497	0.28206966
502367	2125497	0.282617227
502467	2125497	0.283168064
502567	2125497	0.283722153
502667	2125497	0.284279473
502767	2125497	0.284840005
502867	2125497	0.285403729
502967	2125497	0.285970625
503067	2125497	0.286540675
503167	2125497	0.287113858
503267	2125497	0.287690155
503367	2125497	0.288269547
503467	2125497	0.288852014
503567	2125497	0.289437537
503667	2125497	0.290026096
503767	2125497	0.290617673
503867	2125497	0.291212247
503967	2125497	0.291809801
504067	2125497	0.292410315
504167	2125497	0.293013769
504267	2125497	0.293620146
504367	2125497	0.294229426
504467	2125497	0.29484159
504567	2125497	0.29545662
504667	2125497	0.296074497
504767	2125497	0.296695202
504867	2125497	0.297318717
504967	2125497	0.297945023
505067	2125497	0.298574102
505167	2125497	0.299205936
505267	2125497	0.299840506
505367	2125497	0.300477794
505467	2125497	0.301117783
505567	2125497	0.301760454
505667	2125497	0.302405789
505767	2125497	0.303053771
505867	2125497	0.303704381
505967	2125497	0.304357603
506067	2125497	0.305013417
506167	2125497	0.305671808
501567	2125597	0.277392357
501667	2125597	0.277918252
501767	2125597	0.278447563
501867	2125597	0.27898027
501967	2125597	0.279516351
502067	2125597	0.280055788
502167	2125597	0.280598561
502267	2125597	0.281144649
502367	2125597	0.281694032
502467	2125597	0.282246691
502567	2125597	0.282802605
502667	2125597	0.283361755
502767	2125597	0.283924121
502867	2125597	0.284489683
502967	2125597	0.285058421
503067	2125597	0.285630316
503167	2125597	0.286205347
503267	2125597	0.286783496
503367	2125597	0.287364743
503467	2125597	0.287949067
503567	2125597	0.28853645
503667	2125597	0.289126872
503767	2125597	0.289720314
503867	2125597	0.290316756
503967	2125597	0.290916179
504067	2125597	0.291518565
504167	2125597	0.292123893
504267	2125597	0.292732144
504367	2125597	0.293343301
504467	2125597	0.293957343
504567	2125597	0.294574252
504667	2125597	0.295194009
504767	2125597	0.295816596
504867	2125597	0.296441993
504967	2125597	0.297070182
505067	2125597	0.297701145
505167	2125597	0.298334862
505267	2125597	0.298971317
505367	2125597	0.29961049
505467	2125597	0.300252364
505567	2125597	0.300896919
505667	2125597	0.301544139
505767	2125597	0.302194005
505867	2125597	0.3028465
505967	2125597	0.303501605
506067	2125597	0.304159303
506167	2125597	0.304819576
501467	2125697	0.275931619
501567	2125697	0.276455863
501667	2125697	0.276983549
501767	2125697	0.277514657
501867	2125697	0.278049165
501967	2125697	0.278587055
502067	2125697	0.279128305
502167	2125697	0.279672895
502267	2125697	0.280220805
502367	2125697	0.280772016
502467	2125697	0.281326507
502567	2125697	0.281884257
502667	2125697	0.282445248
502767	2125697	0.283009458
502867	2125697	0.283576868
502967	2125697	0.284147458
503067	2125697	0.284721208
503167	2125697	0.285298098
503267	2125697	0.285878108
503367	2125697	0.286461219
503467	2125697	0.287047411
503567	2125697	0.287636664
503667	2125697	0.288228959
503767	2125697	0.288824276
503867	2125697	0.289422595
503967	2125697	0.290023898
504067	2125697	0.290628164
504167	2125697	0.291235375
504267	2125697	0.291845511
504367	2125697	0.292458554
504467	2125697	0.293074483
504567	2125697	0.29369328
504667	2125697	0.294314927
504767	2125697	0.294939404
504867	2125697	0.295566692
504967	2125697	0.296196773
505067	2125697	0.296829628
505167	2125697	0.297465239
505267	2125697	0.298103587
505367	2125697	0.298744653
505467	2125697	0.29938842
505567	2125697	0.300034869
505667	2125697	0.300683981
505767	2125697	0.30133574
505867	2125697	0.301990127
505967	2125697	0.302647124
506067	2125697	0.303306713
506167	2125697	0.303968876
501367	2125797	0.274471861
501467	2125797	0.274994433
501567	2125797	0.275520473
501667	2125797	0.276049961
501767	2125797	0.276582876
501867	2125797	0.277119198
501967	2125797	0.277658905
502067	2125797	0.278201979
502167	2125797	0.278748397
502267	2125797	0.279298141
502367	2125797	0.27985119
502467	2125797	0.280407523
502567	2125797	0.28096712
502667	2125797	0.281529962
502767	2125797	0.282096027
502867	2125797	0.282665295
502967	2125797	0.283237747
503067	2125797	0.283813363
503167	2125797	0.284392121
503267	2125797	0.284974004
503367	2125797	0.285558989
503467	2125797	0.286147059
503567	2125797	0.286738192
503667	2125797	0.287332369
503767	2125797	0.287929571
503867	2125797	0.288529777
503967	2125797	0.289132968
504067	2125797	0.289739126
504167	2125797	0.290348229
504267	2125797	0.290960259
504367	2125797	0.291575197
504467	2125797	0.292193023
504567	2125797	0.292813718
504667	2125797	0.293437263
504767	2125797	0.29406364
504867	2125797	0.294692828
504967	2125797	0.29532481
505067	2125797	0.295959566
505167	2125797	0.296597078
505267	2125797	0.297237328
505367	2125797	0.297880296
505467	2125797	0.298525965
505567	2125797	0.299174315
505667	2125797	0.299825329
505767	2125797	0.300478989
505867	2125797	0.301135276
505967	2125797	0.301794173
506067	2125797	0.302455661
506167	2125797	0.303119723
501367	2125897	0.273533978
501467	2125897	0.274058351
501567	2125897	0.274586198
501667	2125897	0.275117499
501767	2125897	0.275652232
501867	2125897	0.276190377
501967	2125897	0.276731914
502067	2125897	0.277276822
502167	2125897	0.27782508
502267	2125897	0.278376668
502367	2125897	0.278931566
502467	2125897	0.279489752
502567	2125897	0.280051207
502667	2125897	0.280615909
502767	2125897	0.281183839
502867	2125897	0.281754977
502967	2125897	0.282329301
503067	2125897	0.282906793
503167	2125897	0.28348743
503267	2125897	0.284071195
503367	2125897	0.284658065
503467	2125897	0.285248022
503567	2125897	0.285841045
503667	2125897	0.286437115
503767	2125897	0.287036211
503867	2125897	0.287638314
503967	2125897	0.288243404
504067	2125897	0.288851462
504167	2125897	0.289462467
504267	2125897	0.290076401
504367	2125897	0.290693243
504467	2125897	0.291312975
504567	2125897	0.291935577
504667	2125897	0.292561031
504767	2125897	0.293189316
504867	2125897	0.293820413
504967	2125897	0.294454305
505067	2125897	0.295090971
505167	2125897	0.295730394
505267	2125897	0.296372554
505367	2125897	0.297017433
505467	2125897	0.297665011
505567	2125897	0.298315272
505667	2125897	0.298968196
505767	2125897	0.299623765
505867	2125897	0.300281961
505967	2125897	0.300942765
506067	2125897	0.301606161
506167	2125897	0.302272129
501267	2125997	0.272074516
501367	2125997	0.2725972
501467	2125997	0.273123385
501567	2125997	0.273653049
501667	2125997	0.274186174
501767	2125997	0.274722736
501867	2125997	0.275262717
501967	2125997	0.275806094
502067	2125997	0.276352847
502167	2125997	0.276902955
502267	2125997	0.277456398
502367	2125997	0.278013155
502467	2125997	0.278573205
502567	2125997	0.279136528
502667	2125997	0.279703103
502767	2125997	0.280272909
502867	2125997	0.280845926
502967	2125997	0.281422133
503067	2125997	0.28200151
503167	2125997	0.282584038
503267	2125997	0.283169694
503367	2125997	0.28375846
503467	2125997	0.284350314
503567	2125997	0.284945238
503667	2125997	0.28554321
503767	2125997	0.286144211
503867	2125997	0.28674822
503967	2125997	0.287355219
504067	2125997	0.287965186
504167	2125997	0.288578103
504267	2125997	0.28919395
504367	2125997	0.289812706
504467	2125997	0.290434354
504567	2125997	0.291058872
504667	2125997	0.291686242
504767	2125997	0.292316445
504867	2125997	0.292949461
504967	2125997	0.293585272
505067	2125997	0.294223857
505167	2125997	0.294865199
505267	2125997	0.295509278
505367	2125997	0.296156076
505467	2125997	0.296805574
505567	2125997	0.297457753
505667	2125997	0.298112595
505767	2125997	0.298770082
505867	2125997	0.299430194
505967	2125997	0.300092915
506067	2125997	0.300758226
501267	2126097	0.271137035
501367	2126097	0.271661536
501467	2126097	0.272189544
501567	2126097	0.272721038
501667	2126097	0.273255997
501767	2126097	0.2737944
501867	2126097	0.274336227
501967	2126097	0.274881455
502067	2126097	0.275430065
502167	2126097	0.275982034
502267	2126097	0.276537343
502367	2126097	0.27709597
502467	2126097	0.277657895
502567	2126097	0.278223097
502667	2126097	0.278791554
502767	2126097	0.279363246
502867	2126097	0.279938153
502967	2126097	0.280516254
503067	2126097	0.281097528
503167	2126097	0.281681955
503267	2126097	0.282269514
503367	2126097	0.282860185
503467	2126097	0.283453948
503567	2126097	0.284050781
503667	2126097	0.284650666
503767	2126097	0.285253581
503867	2126097	0.285859507
503967	2126097	0.286468424
504067	2126097	0.287080311
504167	2126097	0.28769515
504267	2126097	0.288312919
504367	2126097	0.288933599
504467	2126097	0.289557171
504567	2126097	0.290183615
504667	2126097	0.290812912
504767	2126097	0.291445042
504867	2126097	0.292079985
